Round,Strategy,Size_KB,Serialize_Time_ms,Upload_Time_s
1,baseline,2448.52,8.84,2.84
2,baseline,2448.52,6.53,6.68
3,baseline,2448.52,7.16,6.35
4,baseline,2448.52,7.70,6.27
5,baseline,2448.52,6.45,6.19
6,baseline,2448.52,6.40,6.40
7,baseline,2448.52,7.17,6.26
8,baseline,2448.52,6.68,6.41
9,baseline,2448.53,9.04,6.03
10,baseline,2448.52,6.48,6.22
1,fp16_gzip,1116.27,84.70,3.21
2,fp16_gzip,1116.78,102.43,8.41
3,fp16_gzip,1116.26,96.58,8.73
4,fp16_gzip,1116.21,100.95,8.81
5,fp16_gzip,1116.37,64.51,8.55
6,fp16_gzip,1116.33,104.45,8.61
7,fp16_gzip,1115.87,90.86,8.39
8,fp16_gzip,1115.78,100.29,8.40
9,fp16_gzip,1116.19,95.21,8.34
10,fp16_gzip,1116.29,90.21,8.46
1,fc_only,2055.32,1.47,4.21
2,fc_only,2055.32,1.67,11.49
3,fc_only,2055.32,1.74,11.36
4,fc_only,2055.32,1.49,11.27
5,fc_only,2055.32,1.64,11.78
6,fc_only,2055.32,1.69,11.58
7,fc_only,2055.32,1.87,11.38
8,fc_only,2055.32,1.67,12.40
9,fc_only,2055.32,1.77,11.15
10,fc_only,2055.32,1.71,11.34
1,delta,2448.52,5.53,5.60
2,delta,2447.95,13.77,14.45
3,delta,2447.95,7.27,14.44
4,delta,2447.95,6.93,14.14
5,delta,2447.95,6.76,14.14
6,delta,2447.96,8.03,13.94
7,delta,2447.95,7.08,14.45
8,delta,2447.95,7.66,14.13
9,delta,2447.95,8.39,14.25
10,delta,2447.97,6.73,14.44
